"All ages in Poverty, Count Estimate","All ages in Poverty, Rate Estimate",Median Household Income Estimate,County,Year,State ID,County ID,Full County ID
8152,14.9,48863,Autauga County,2011,01,001,01001
24728,13.4,50144,Baldwin County,2011,01,003,01003
7051,29.5,30117,Barbour County,2011,01,005,01005
4562,22.2,37347,Bibb County,2011,01,007,01007
8505,14.9,41940,Blount County,2011,01,009,01009
2909,32.8,26038,Bullock County,2011,01,011,01011
4902,24.1,30489,Butler County,2011,01,013,01013
23974,20.9,39060,Calhoun County,2011,01,015,01015
7923,23.7,33500,Chambers County,2011,01,017,01017
6127,23.8,34738,Cherokee County,2011,01,019,01019
7940,18.3,38833,Chilton County,2011,01,021,01021
3677,27.3,32940,Choctaw County,2011,01,023,01023
6686,26.3,32642,Clarke County,2011,01,025,01025
2545,18.7,32454,Clay County,2011,01,027,01027
2509,17.2,39153,Cleburne County,2011,01,029,01029
8447,16.9,42173,Coffee County,2011,01,031,01031
10098,18.7,37269,Colbert County,2011,01,033,01033
3635,27.9,26914,Conecuh County,2011,01,035,01035
2700,25.5,34391,Coosa County,2011,01,037,01037
9074,24.2,32138,Covington County,2011,01,039,01039
2500,18.2,34534,Crenshaw County,2011,01,041,01041
14455,18.2,39395,Cullman County,2011,01,043,01043
9198,18.8,41568,Dale County,2011,01,045,01045
15303,35.7,25859,Dallas County,2011,01,047,01047
14331,20.3,35487,DeKalb County,2011,01,049,01049
10299,13.8,54866,Elmore County,2011,01,051,01051
8893,25.5,32838,Escambia County,2011,01,053,01053
21426,21.0,34927,Etowah County,2011,01,055,01055
3815,22.5,32648,Fayette County,2011,01,057,01057
6292,19.9,33705,Franklin County,2011,01,059,01059
6475,24.4,33835,Geneva County,2011,01,061,01061
3115,35.1,24738,Greene County,2011,01,063,01063
4306,28.5,31044,Hale County,2011,01,065,01065
3207,18.7,39788,Henry County,2011,01,067,01067
17697,17.5,40428,Houston County,2011,01,069,01069
9423,17.9,36746,Jackson County,2011,01,071,01071
120760,18.7,42053,Jefferson County,2011,01,073,01073
3109,22.1,34731,Lamar County,2011,01,075,01075
14889,16.4,40195,Lauderdale County,2011,01,077,01077
6073,18.0,38132,Lawrence County,2011,01,079,01079
29809,21.4,42539,Lee County,2011,01,081,01081
11439,13.9,46760,Limestone County,2011,01,083,01083
2995,27.1,28043,Lowndes County,2011,01,085,01085
5997,30.9,27591,Macon County,2011,01,087,01087
45732,13.8,55298,Madison County,2011,01,089,01089
5018,24.6,31995,Marengo County,2011,01,091,01091
7615,25.6,30926,Marion County,2011,01,093,01093
17719,19.1,38876,Marshall County,2011,01,095,01095
80070,19.7,41867,Mobile County,2011,01,097,01097
6462,28.7,31072,Monroe County,2011,01,099,01099
51765,23.2,42962,Montgomery County,2011,01,101,01101
19790,16.8,43615,Morgan County,2011,01,103,01103
3177,33.0,22175,Perry County,2011,01,105,01105
5039,26.5,31079,Pickens County,2011,01,107,01107
7936,25.6,32345,Pike County,2011,01,109,01109
4939,22.1,34517,Randolph County,2011,01,111,01111
10867,20.1,32632,Russell County,2011,01,113,01113
14249,17.3,48040,St. Clair County,2011,01,115,01115
15743,8.1,66362,Shelby County,2011,01,117,01117
4997,39.1,23531,Sumter County,2011,01,119,01119
20569,26.2,33856,Talladega County,2011,01,121,01121
7725,18.8,37686,Tallapoosa County,2011,01,123,01123
37718,20.2,42086,Tuscaloosa County,2011,01,125,01125
14511,22.1,35423,Walker County,2011,01,127,01127
3238,18.9,39203,Washington County,2011,01,129,01129
4536,39.9,20990,Wilcox County,2011,01,131,01131
4754,19.8,31018,Winston County,2011,01,133,01133
562,17.8,51289,Aleutians East Borough,2011,02,013,02013
532,10.1,59362,Aleutians West Census Area,2011,02,016,02016
24409,8.5,71237,Anchorage Borough,2011,02,020,02020
