"All ages in Poverty, Count Estimate","All ages in Poverty, Rate Estimate",Median Household Income Estimate,County,Year,State ID,County ID,Full County ID
7587,13.8,59338,Autauga County,2018,01,001,01001
21069,9.8,57588,Baldwin County,2018,01,003,01003
6788,30.9,34382,Barbour County,2018,01,005,01005
4400,21.8,46064,Bibb County,2018,01,007,01007
7527,13.2,50412,Blount County,2018,01,009,01009
3610,42.5,29267,Bullock County,2018,01,011,01011
4731,24.5,37365,Butler County,2018,01,013,01013
21719,19.5,45400,Calhoun County,2018,01,015,01015
6181,18.7,39917,Chambers County,2018,01,017,01017
4180,16.3,42132,Cherokee County,2018,01,019,01019
7542,17.3,47547,Chilton County,2018,01,021,01021
2806,22.1,39907,Choctaw County,2018,01,023,01023
5381,22.8,40741,Clarke County,2018,01,025,01025
2285,17.6,39201,Clay County,2018,01,027,01027
2356,16.0,46495,Cleburne County,2018,01,029,01029
7053,13.8,55122,Coffee County,2018,01,031,01031
7459,13.8,49055,Colbert County,2018,01,033,01033
2979,24.4,32613,Conecuh County,2018,01,035,01035
1973,18.9,42423,Coosa County,2018,01,037,01037
7239,19.9,40203,Covington County,2018,01,039,01039
2661,19.5,39057,Crenshaw County,2018,01,041,01041
11925,14.5,45796,Cullman County,2018,01,043,01043
7743,16.2,45309,Dale County,2018,01,045,01045
11841,31.4,34035,Dallas County,2018,01,047,01047
14975,21.3,39491,DeKalb County,2018,01,049,01049
8559,11.2,60367,Elmore County,2018,01,051,01051
8022,23.6,38418,Escambia County,2018,01,053,01053
17509,17.5,44903,Etowah County,2018,01,055,01055
3801,23.5,39254,Fayette County,2018,01,057,01057
5939,19.2,39388,Franklin County,2018,01,059,01059
5537,21.3,37823,Geneva County,2018,01,061,01061
2459,30.1,28524,Greene County,2018,01,063,01063
3705,25.6,34724,Hale County,2018,01,065,01065
3037,17.9,46027,Henry County,2018,01,067,01067
17032,16.5,47993,Houston County,2018,01,069,01069
10046,19.7,41929,Jackson County,2018,01,071,01071
103604,16.1,55013,Jefferson County,2018,01,073,01073
2374,17.4,40936,Lamar County,2018,01,075,01075
12645,14.0,48707,Lauderdale County,2018,01,077,01077
6297,19.3,43909,Lawrence County,2018,01,079,01079
30075,19.0,48937,Lee County,2018,01,081,01081
10633,11.4,64863,Limestone County,2018,01,083,01083
2474,25.1,33973,Lowndes County,2018,01,085,01085
5031,30.2,32495,Macon County,2018,01,087,01087
42667,11.9,63755,Madison County,2018,01,089,01089
4499,24.0,37733,Marengo County,2018,01,091,01091
5844,20.2,37887,Marion County,2018,01,093,01093
17341,18.3,46233,Marshall County,2018,01,095,01095
84539,20.8,43598,Mobile County,2018,01,097,01097
4560,21.9,39556,Monroe County,2018,01,099,01099
43567,20.1,49640,Montgomery County,2018,01,101,01101
15419,13.2,52797,Morgan County,2018,01,103,01103
2943,35.3,26814,Perry County,2018,01,105,01105
4177,23.1,37586,Pickens County,2018,01,107,01107
7315,23.6,37259,Pike County,2018,01,109,01109
4375,19.7,40546,Randolph County,2018,01,111,01111
12384,21.7,39104,Russell County,2018,01,113,01113
10432,12.0,57284,St. Clair County,2018,01,115,01115
16916,8.0,75663,Shelby County,2018,01,117,01117
4076,34.7,27859,Sumter County,2018,01,119,01119
14825,19.3,41630,Talladega County,2018,01,121,01121
7839,19.7,42205,Tallapoosa County,2018,01,123,01123
33330,16.8,52557,Tuscaloosa County,2018,01,125,01125
11231,17.9,45434,Walker County,2018,01,127,01127
2846,17.6,44424,Washington County,2018,01,129,01129
3504,33.4,25385,Wilcox County,2018,01,131,01131
4338,18.6,41156,Winston County,2018,01,133,01133
544,15.5,70081,Aleutians East Borough,2018,02,013,02013
550,10.0,82633,Aleutians West Census Area,2018,02,016,02016
27075,9.5,82113,Anchorage Borough,2018,02,020,02020
5869,32.7,44304,Bethel Census Area,2018,02,050,02050
96,11.2,77257,Bristol Bay Borough,2018,02,060,02060
135,6.9,75477,Denali Borough,2018,02,068,02068
1091,22.0,54524,Dillingham Census Area,2018,02,070,02070
8104,8.6,74268,Fairbanks North Star Borough,2018,02,090,02090
259,10.5,58943,Haines Borough,2018,02,100,02100
370,17.2,51188,Hoonah-Angoon Census Area,2018,02,105,02105
2299,7.3,79173,Juneau Borough,2018,02,110,02110
7103,12.4,65439,Kenai Peninsula Borough,2018,02,122,02122
1244,9.1,68309,Ketchikan Gateway Borough,2018,02,130,02130
1073,8.2,74109,Kodiak Island Borough,2018,02,150,02150
2905,35.1,32728,Kusilvak Census Area,2018,02,158,02158
288,18.2,49403,Lake and Peninsula Borough,2018,02,164,02164
10937,10.4,74649,Matanuska-Susitna Borough,2018,02,170,02170
2168,22.0,55318,Nome Census Area,2018,02,180,02180
1094,11.1,89276,North Slope Borough,2018,02,185,02185
1604,21.1,59337,Northwest Arctic Borough,2018,02,188,02188
232,7.2,66075,Petersburg Borough,2018,02,195,02195
1057,16.5,49356,Prince of Wales-Hyder Census Area,2018,02,198,02198
656,7.7,71825,Sitka Borough,2018,02,220,02220
49,4.3,74635,Skagway Municipality,2018,02,230,02230
918,13.4,63527,Southeast Fairbanks Census Area,2018,02,240,02240
880,9.7,68528,Valdez-Cordova Census Area,2018,02,261,02261
287,11.6,57832,Wrangell City and Borough,2018,02,275,02275
79,13.1,59523,Yakutat Borough,2018,02,282,02282
1259,23.7,38912,Yukon-Koyukuk Census Area,2018,02,290,02290
26435,37.3,33652,Apache County,2018,04,001,04001
18273,15.1,49164,Cochise County,2018,04,003,04003
20964,15.9,60187,Coconino County,2018,04,005,04005
10804,20.4,43585,Gila County,2018,04,007,04007
7118,20.2,50157,Graham County,2018,04,009,04009
985,10.5,65818,Greenlee County,2018,04,011,04011
4921,23.7,37350,La Paz County,2018,04,012,04012
535183,12.3,65234,Maricopa County,2018,04,013,04013
34411,16.8,45129,Mohave County,2018,04,015,04015
30876,28.5,40650,Navajo County,2018,04,017,04017
164927,16.2,53395,Pima County,2018,04,019,04019
54399,12.9,58848,Pinal County,2018,04,021,04021
11287,24.4,40545,Santa Cruz County,2018,04,023,04023
30060,13.2,48758,Yavapai County,2018,04,025,04025
39648,19.5,44116,Yuma County,2018,04,027,04027
3120,17.9,43887,Arkansas County,2018,05,001,05001
3876,19.6,41127,Ashley County,2018,05,003,05003
6216,15.1,39686,Baxter County,2018,05,005,05005
23290,8.6,68978,Benton County,2018,05,007,05007
5472,14.8,44482,Boone County,2018,05,009,05009
2329,21.7,37729,Bradley County,2018,05,011,05011
800,15.7,44969,Calhoun County,2018,05,013,05013
4499,16.1,45023,Carroll County,2018,05,015,05015
3039,31.4,31787,Chicot County,2018,05,017,05017
3838,19.9,45408,Clark County,2018,05,019,05019
3035,20.7,37687,Clay County,2018,05,021,05021
3573,14.6,44902,Cleburne County,2018,05,023,05023
1232,15.5,47600,Cleveland County,2018,05,025,05025
4799,22.4,40909,Columbia County,2018,05,027,05027
3693,17.9,44565,Conway County,2018,05,029,05029
18768,17.9,45615,Craighead County,2018,05,031,05031
10027,16.0,47363,Crawford County,2018,05,033,05033
9056,19.2,42606,Crittenden County,2018,05,035,05035
2940,18.0,41214,Cross County,2018,05,037,05037
1442,21.3,37259,Dallas County,2018,05,039,05039
2780,24.3,36132,Desha County,2018,05,041,05041
3391,19.5,42494,Drew County,2018,05,043,05043
18571,15.4,53882,Faulkner County,2018,05,045,05045
3202,18.3,43696,Franklin County,2018,05,047,05047
2481,20.6,35630,Fulton County,2018,05,049,05049
19844,20.4,43610,Garland County,2018,05,051,05051
2353,13.1,52050,Grant County,2018,05,053,05053
7361,16.5,46512,Greene County,2018,05,055,05055
4424,20.6,38682,Hempstead County,2018,05,057,05057
5844,18.7,47205,Hot Spring County,2018,05,059,05059
2271,17.3,40199,Howard County,2018,05,061,05061
5302,14.5,45596,Independence County,2018,05,063,05063
2358,18.7,37828,Izard County,2018,05,065,05065
3732,25.6,36573,Jackson County,2018,05,067,05067
13900,22.2,38596,Jefferson County,2018,05,069,05069
5761,22.2,39381,Johnson County,2018,05,071,05071
1498,22.8,35527,Lafayette County,2018,05,073,05073
2776,17.7,40308,Lawrence County,2018,05,075,05075
3098,43.0,28080,Lee County,2018,05,077,05077
2647,27.5,44951,Lincoln County,2018,05,079,05079
1942,16.0,43559,Little River County,2018,05,081,05081
3950,18.6,41471,Logan County,2018,05,083,05083
8651,11.9,56651,Lonoke County,2018,05,085,05085
3002,18.4,42674,Madison County,2018,05,087,05087
3082,18.7,36581,Marion County,2018,05,089,05089
9228,21.9,42162,Miller County,2018,05,091,05091
10325,25.7,36718,Mississippi County,2018,05,093,05093
1769,26.0,32922,Monroe County,2018,05,095,05095
1649,18.8,38318,Montgomery County,2018,05,097,05097
1738,21.3,37626,Nevada County,2018,05,099,05099
1340,17.4,36078,Newton County,2018,05,101,05101
5410,23.3,37624,Ouachita County,2018,05,103,05103
1502,14.7,45342,Perry County,2018,05,105,05105
6301,35.4,29945,Phillips County,2018,05,107,05107
1856,17.8,41534,Pike County,2018,05,109,05109
5592,23.7,37370,Poinsett County,2018,05,111,05111
3962,20.0,39048,Polk County,2018,05,113,05113
9647,16.0,45788,Pope County,2018,05,115,05115
1254,15.8,43245,Prairie County,2018,05,117,05117
64312,16.7,49957,Pulaski County,2018,05,119,05119
3050,17.4,37799,Randolph County,2018,05,121,05121
7586,35.6,33257,St. Francis County,2018,05,123,05123
11695,9.7,63677,Saline County,2018,05,125,05125
2054,20.2,35826,Scott County,2018,05,127,05127
1912,24.3,31659,Searcy County,2018,05,129,05129
19527,15.6,46843,Sebastian County,2018,05,131,05131
3402,20.1,44100,Sevier County,2018,05,133,05133
3541,20.7,36032,Sharp County,2018,05,135,05135
2497,20.3,34009,Stone County,2018,05,137,05137
7000,18.2,45335,Union County,2018,05,139,05139
2685,16.4,40486,Van Buren County,2018,05,141,05141
34741,15.2,50893,Washington County,2018,05,143,05143
12505,16.6,44811,White County,2018,05,145,05145
1509,23.7,34306,Woodruff County,2018,05,147,05147
3453,16.3,41729,Yell County,2018,05,149,05149
147394,9.0,101744,Alameda County,2018,06,001,06001
190,17.3,55384,Alpine County,2018,06,003,06003
4130,11.8,58515,Amador County,2018,06,005,06005
42016,18.5,50945,Butte County,2018,06,007,06007
5454,12.1,62984,Calaveras County,2018,06,009,06009
2350,11.0,57249,Colusa County,2018,06,011,06011
88980,7.8,101463,Contra Costa County,2018,06,013,06013
5065,20.4,48518,Del Norte County,2018,06,015,06015
15401,8.1,81869,El Dorado County,2018,06,017,06017
208627,21.3,52318,Fresno County,2018,06,019,06019
4271,15.4,47365,Glenn County,2018,06,021,06021
27002,20.3,49471,Humboldt County,2018,06,023,06023
